Name,Country,Price,Security_Deposit
Bungan Beach House,Australia,2356.0,10000
Luxurious oasis and family home in North Bondi,Australia,2000.0,200
Spacious 5 bedroom house - PERFECT LOCATION,Australia,1500.0,0
LUXICO - Vaucluse Manor,Australia,1321.0,2500
Whale Beach Sensation,Australia,1200.0,5000
LUXICO - Principino,Australia,1105.0,2000
Curl Curl Getaway | Pool & Spacious 4 BR House,Australia,1100.0,1000
Modern luxury Beach House,Australia,999.0,3000
Views to die for & use VW Golf GTi for Free,Australia,999.0,200
"Bronte Home, Fabulous Location",Australia,999.0,200
