Name,Country,Price,Cleaning_Fee
LUXICO - Vaucluse Manor,Australia,1321.0,693
BEACH ESCAPE,Australia,689.0,650
Whale Beach Sensation,Australia,1200.0,500
Whale Beach Pittwater Views- By Escape Vacations,Australia,699.0,500
LUXICO - Principino,Australia,1105.0,467
Coogee Luxury Home with Salt Water Pool & Parking,Australia,520.0,465
PROS - Family Heaven in the Heart of Manly,Australia,499.0,418
Renovated Federalist House with a Private Garden and Hot Tub,Australia,299.0,400
One bedroom Bronte Beach,Australia,550.0,350
Bondi Abode w/swimming pool,Australia,800.0,350
