Name,Country,Price,Cleaning_Fee,Room_Type,Review_Rating
"Minimalist Rooms in BCN, live it.",Spain,115.0,300,Entire home/apt,10.0
1405 - LUXURY BEACH TERRACE APARTME,Spain,750.0,250,Entire home/apt,9.0
Ático exclusivo Barcelona,Spain,805.0,180,Entire home/apt,9.0
Autèntic Monumental 32,Spain,550.0,175,Entire home/apt,10.0
Sagrada Familia area for 12 people,Spain,300.0,150,Entire home/apt,9.0
Gran Via De Luxe 5* DaysinBarcelona,Spain,494.0,150,Entire home/apt,9.0
Loft Duplex Barcelona,Spain,250.0,150,Entire home/apt,9.0
"Executive cataluña 6 , 5 bedrooms",Spain,300.0,150,Entire home/apt,9.0
"Loft in Arc de Triomf Barcelona with terrace, pool",Spain,150.0,150,Entire home/apt,9.0
City centre loft with rooftop pool and terrace,Spain,150.0,150,Entire home/apt,9.0
