Name,Country,Price,Cleaning_Fee
"piso bonito, muy centrico",Spain,60.0,100
Best location double room,Spain,27.0,80
Old District - Charming Apartment,Spain,50.0,75
Cosy Loft in the Heart of Borne,Spain,70.0,60
Private room in L'eixample,Spain,22.0,60
Comfortable and quiet Room in Barcelona,Spain,35.0,60
Piso muy céntrico en Gràcia,Spain,25.0,60
Sagrada Familia - Comfortable and cosy double room,Spain,60.0,60
Double room in Diagonal Mar.  Close to the beach.,Spain,65.0,60
2 chambres Pour 4 personnes,Spain,100.0,60
