Longitude,Latitude,Name,Country,Price,Room_Type,Review_Rating,Host_Name,No_Of_BedRooms,No_Of_BathRooms,No_Of_Beds
151.21554,-33.88029,Surry Hills Studio - Your Perfect Base in Sydney,Australia,181.0,Entire home/apt,9.0,Ben,0.0,1.0,1.0
151.21346,-33.87603,Sydney Hyde Park City Apartment (checkin from 6am),Australia,185.0,Entire home/apt,10.0,Desireé,1.0,1.0,1.0
151.17956,-33.86296,THE Place to See Sydney's FIREWORKS,Australia,250.0,Entire home/apt,9.0,Kristin,1.0,2.5,1.0
151.29792,-33.71472,Great studio opp. Narrabeen Lake,Australia,117.0,Entire home/apt,10.0,Tracy,0.0,1.0,1.0
151.26969,-33.79629,"Friendly Apartment, 10m from Manly",Australia,36.0,Private room,9.0,Isaac,1.0,1.0,1.0
151.25541,-33.92398,Private Room (2)  in Guest House at Coogee Beach,Australia,64.0,Private room,9.0,David,1.0,3.5,2.0
151.27448,-33.8872,Bondi Beach Dreaming 3-Bed House,Australia,399.0,Entire home/apt,9.0,Cat,3.0,2.0,6.0
151.18563,-33.8289,Greenwich Fun and Luxury,Australia,999.0,Entire home/apt,9.0,Craig,4.0,4.0,4.0
151.22559,-33.87604,Sun filled comfortable apartment,Australia,85.0,Entire home/apt,10.0,Harry,1.0,1.0,1.0
151.26108,-33.7975,"Studio convenient to CBD, beaches, street parking.",Australia,45.0,Entire home/apt,10.0,Leslie,1.0,1.0,4.0
151.15036,-33.90318,The Garden Studio,Australia,129.0,Entire home/apt,10.0,Cath,1.0,1.0,1.0
151.15851,-33.89931,Bright Inner West Terrace Value+,Australia,65.0,Private room,10.0,Natasa,1.0,1.5,1.0
151.31572,-33.65212,Aquilla House - Ocean Views Newport,Australia,500.0,Entire home/apt,8.0,Susannah,4.0,3.0,5.0
151.22133,-33.87521,Super location - Walk to the City!,Australia,119.0,Entire home/apt,8.0,Serena,1.0,1.0,1.0
151.15761,-34.08087,Bundeena Garden Studio near beaches,Australia,109.0,Entire home/apt,10.0,Belinda,1.0,1.0,1.0
151.16994,-33.86771,ROOM + ENSUITE INNER CITY MOD HOUSE,Australia,125.0,Private room,9.0,Alison,1.0,2.0,1.0
151.21478,-33.84297,Harbourside Apartment - Water Views,Australia,161.0,Entire home/apt,9.0,Eleanor,1.0,1.0,2.0
151.2009,-33.90987,Beautiful Ensuite Room -Easy access to city,Australia,75.0,Private room,9.0,Marina,1.0,2.5,1.0
151.23526,-33.88944,Executive Luxury design Apartment,Australia,461.0,Entire home/apt,10.0,Sarah,2.0,1.0,2.0
151.26826,-33.89172,Bondi beach sunny house,Australia,55.0,Private room,10.0,Kate,1.0,1.0,1.0
151.00818,-33.81861,Two Bed Room Spacious brand new,Australia,124.0,Entire home/apt,9.0,Amol,2.0,2.0,2.0
151.1943,-33.87351,Room double bed $ 740 for 2 weeks,Australia,53.0,Private room,9.0,Jamie,1.0,1.0,1.0
151.1965,-33.88848,Inner City Terrace - 2 rooms 2 beds - 4 ppl.,Australia,171.0,Private room,10.0,Jason,2.0,1.5,2.0
151.32223,-33.662,Cruisy apartment by the sea,Australia,151.0,Entire home/apt,9.0,Dean,0.0,1.0,1.0
151.21842,-33.86943,Spacious Four Bedroom Terrace,Australia,650.0,Entire home/apt,9.0,Ed,4.0,2.0,4.0
151.21181,-33.90087,Sunny Courtyard Apartment - Sydney,Australia,165.0,Entire home/apt,9.0,Shane,1.0,1.0,1.0
151.26907,-33.89605,Cottage in Bondi/Tamarama,Australia,242.0,Entire home/apt,9.0,Jaclyn,1.0,1.0,1.0
151.26982,-33.89741,Tamarama Penthouse apartment,Australia,225.0,Entire home/apt,10.0,Lizzy,3.0,2.0,3.0
151.27247,-33.88875,Appartment 5 minutes walk from the beach,Australia,139.0,Entire home/apt,9.0,Gwennaelle,1.0,1.0,1.0
151.20377,-33.90017,Affordable and close to the city!,Australia,65.0,Private room,10.0,Irene & Glenn,1.0,1.0,2.0
151.27036,-33.89275,Private Room on Bondi Beach,Australia,70.0,Private room,9.0,Scott,1.0,0.0,1.0
151.1971,-33.8708,"Thriving city location, dining hub",Australia,200.0,Entire home/apt,9.0,Sabrina,2.0,2.0,2.0
151.21378,-33.89373,Inner City Spacious Loft- City View,Australia,80.0,Private room,10.0,Paul,1.0,1.0,1.0
151.20677,-33.8671,STUDIO APARTMENT + WIFI!!!!,Australia,125.0,Entire home/apt,9.0,Athena,0.0,1.0,1.0
151.29282,-33.80031,Room on the waterfront,Australia,85.0,Private room,10.0,Maria,1.0,1.0,1.0
151.20691,-33.89836,Very Convenient Apartment,Australia,70.0,Entire home/apt,9.0,Peter,1.0,1.0,1.0
151.25656,-33.89333,Bondi Apartment with Stunning Views,Australia,171.0,Entire home/apt,9.0,Eduardo & Yvonne,2.0,1.0,2.0
151.30735,-33.6907,Modern luxury Beach House,Australia,999.0,Entire home/apt,9.0,Marissa,5.0,3.5,6.0
151.15274,-33.937,"Near Airport private room, 2 bedroom granny flat**",Australia,60.0,Private room,10.0,Shuang,1.0,1.0,1.0
151.23757,-33.83325,Mosman Apartment,Australia,139.0,Entire home/apt,9.0,Mags,1.0,1.0,1.0
151.21367,-33.87702,Sydney Centre City View Studio Apartment,Australia,209.0,Entire home/apt,7.0,Inna,0.0,1.0,3.0
151.21532,-33.89307,아담하고 느낌이 편안한 방 Modern and cosy,Australia,569.0,Private room,9.0,Sibang,1.0,0.5,1.0
151.23946,-33.53785,Very special island bed and brunch,Australia,139.0,Private room,9.0,Ann,3.0,1.0,2.0
151.23062,-33.88743,Chic Queen Bed in 5 Star Location!,Australia,80.0,Private room,9.0,Jessica,2.0,1.0,1.0
151.21355,-33.87546,Sydney CBD 3 Bedroom 1 Bathroom Apartment,Australia,370.0,Entire home/apt,9.0,Inna,3.0,1.0,6.0
151.20904,-33.86252,"CL405-Great Apartment, Everything on its Door Step",Australia,200.0,Entire home/apt,9.0,The Apartment Service,2.0,1.0,3.0
151.28492,-33.79762,Manly Escape,Australia,205.0,Entire home/apt,10.0,Ziggy,0.0,1.0,2.0
151.21476,-33.87586,Little New York on Riley - 1BR Darlinghurst,Australia,230.0,Entire home/apt,9.0,Uptown,1.0,1.0,1.0
151.22801,-33.87621,Rushcutters Getaway,Australia,199.0,Entire home/apt,10.0,Ian,2.0,2.0,2.0
151.07343,-33.84673,Sydney Olympic Park High Level Stunning View Apt,Australia,188.0,Entire home/apt,10.0,Nicole,2.0,2.0,2.0
