Longitude,Latitude,Name,Country,Price,Room_Type,Review_Rating,Host_Name,No_Of_BedRooms,No_Of_BathRooms,No_Of_Beds
2.16942,41.40082,Nice room in Barcelona Center,Spain,50.0,Private room,9.0,Anna,1.0,1.0,2.0
2.17963,41.40087,Cozy bedroom Sagrada Familia,Spain,20.0,Private room,10.0,Rapha,1.0,1.0,2.0
2.17778,41.38049,Room in the very ♥ of BCN - Unbeatable location,Spain,40.0,Private room,8.0,Flo,1.0,1.0,2.0
2.15533,41.40686,Triple room Barcelona Guell park,Spain,40.0,Private room,8.0,Núria,1.0,1.0,3.0
2.17519,41.41035,DOUBLE ROOM for 1 or 2 ppl,Spain,15.0,Private room,9.0,Aleksandra,1.0,1.0,1.0
2.17561,41.38701,DOUBLE ROOM IN THE HEART OF BCN,Spain,25.0,Private room,9.0,Isabel,1.0,1.0,1.0
2.15395,41.38005,1 or 2 rooms with private terrace in shared flat,Spain,65.0,Private room,10.0,Capitaine,2.0,1.0,2.0
2.16851,41.3791,2 confortables habitaciones en el centro de BCN!,Spain,35.0,Private room,9.0,Aliona,2.0,1.0,2.0
2.16126,41.39796,Habitación centro Barcelona,Spain,25.0,Private room,9.0,Alan,1.0,1.0,1.0
2.20085,41.42112,habitación doble tranquila con luz,Spain,31.0,Private room,9.0,Vanessa,1.0,1.0,1.0
2.183,41.39142,"Double Suite, with private bathroom.",Spain,40.0,Private room,9.0,Eva,1.0,1.0,1.0
2.17935,41.43038,Double room with private bathroom,Spain,38.0,Private room,9.0,Sonia,1.0,1.0,1.0
2.12933,41.38665,Beautiful Area Single Room,Spain,95.0,Private room,10.0,Marcos,1.0,1.0,1.0
2.1643,41.40211,Habitación indiv con cama extra,Spain,49.0,Private room,10.0,Txus,1.0,1.0,2.0
2.18116,41.38719,Private bedroom in BORN,Spain,30.0,Private room,9.0,Max'Ou,1.0,1.0,1.0
2.15738,41.40113,Double room in the middle of Gracia,Spain,30.0,Private room,9.0,Anna,1.0,1.0,1.0
2.19001,41.42083,Calm room Barcelona,Spain,25.0,Private room,8.0,Kevin,1.0,1.0,1.0
2.17534,41.3843,Lovely twin room in central flat,Spain,39.0,Private room,10.0,Maria Eulalia,1.0,1.0,2.0
2.18338,41.39087,Cozy room very well located - Arc del Trioumf,Spain,50.0,Private room,10.0,Kel,1.0,1.0,1.0
2.16316,41.39533,Habitación doble al lado de La Pedrera,Spain,18.0,Private room,10.0,Manuel,1.0,1.5,1.0
2.20314,41.40951,"Double/single room, bathroom & garage in Poblenou",Spain,40.0,Private room,10.0,Froilán,1.0,1.0,1.0
2.17231,41.37749,"A place near to the RAmbla ,but in a quite street",Spain,100.0,Private room,9.0,Anja,1.0,1.0,1.0
2.17588,41.40439,Habitacion al lado de Sagrada Familia,Spain,45.0,Private room,9.0,Svitlana,1.0,1.0,1.0
2.17304,41.37805,bonita y comoda habitacion en el piso céntrico,Spain,67.0,Private room,9.0,Nadiya Faybisheva/Alex,1.0,1.0,1.0
2.16685,41.38371,Habitación centro de Barcelona,Spain,40.0,Private room,9.0,Marián,1.0,1.0,1.0
2.17728,41.40604,Double Bedroom and amazing rooftop-Sagrada Familia,Spain,250.0,Private room,8.0,Valentina,1.0,1.5,1.0
2.15691,41.37475,Sunny and quiet room with private shower room,Spain,40.0,Private room,9.0,Montserrat,1.0,1.0,1.0
