Longitude,Latitude,Name,Country,Price,Room_Type,Review_Rating
2.19057,41.41254,Great location in Barcelona,Spain,31.0,Entire home/apt,8.0
2.18146,41.39716,Grand apartment Sagrada Familia,Spain,169.0,Entire home/apt,9.0
2.15836,41.41582,Park Guell apartment with terrace,Spain,85.0,Entire home/apt,8.0
2.14596,41.38475,Trendy apartment in BCN centre,Spain,89.0,Entire home/apt,9.0
2.17774,41.37783,Alcam Colón 42 Apartment,Spain,91.0,Entire home/apt,8.0
2.17831,41.37724,Alcam Colon 52 Apartment,Spain,91.0,Entire home/apt,9.0
2.16622,41.3719,"Amazing NEW Food Lover Balcony, close to FIRA, MWC",Spain,84.0,Entire home/apt,9.0
2.15566,41.37479,Spacious and quiet duplex apartment in Poble Sec,Spain,130.0,Entire home/apt,10.0
2.15884,41.40462,GRACE BEAUTIFUL LOFT IN BARCELONA-At least 32 days,Spain,60.0,Entire home/apt,7.0
2.15573,41.37249,MONTJUIC FOUNTAINS APARTMENT,Spain,85.0,Entire home/apt,9.0
2.15375,41.37587,Next to Barcelona Fair and Magic Fountain,Spain,90.0,Entire home/apt,9.0
2.17877,41.37903,Apartamento en casco antiguo,Spain,55.0,Entire home/apt,9.0
2.17434,41.39137,Two bedroom apartment,Spain,155.0,Entire home/apt,10.0
2.15761,41.39922,great Terrace&lift city center,Spain,58.0,Entire home/apt,8.0
2.14733,41.39932,Penthouse. Terrace.,Spain,87.0,Entire home/apt,9.0
2.16424,41.39139,"Spacious, bright, central. AC. Rambla Catalunya",Spain,599.0,Entire home/apt,10.0
2.16963,41.39726,Renovated Modern Apartment with Cathedral Views,Spain,199.0,Entire home/apt,9.0
2.16365,41.39416,Allotja't en un elegant i lluminós pis modernista al costat de Passeig de Gràcia,Spain,255.0,Entire home/apt,10.0
2.16896,41.417,AMAZING VIEWS PENTHOUSE PARK GUELL,Spain,61.0,Entire home/apt,8.0
2.15413,41.39982,"Minimalist Rooms in BCN, live it.",Spain,115.0,Entire home/apt,10.0
2.16663,41.37513,Luminous for 6 apt @ Rnda Sant Pau ¦,Spain,527.0,Entire home/apt,9.0
2.16666,41.38432,SUNNY RAMBLAS 2,Spain,70.0,Entire home/apt,10.0
2.175,41.40604,IDEAL APARTMENT SAGRADA FAMILIA,Spain,150.0,Entire home/apt,10.0
2.17502,41.40995,Rustic Gaudí - Sagrada Família,Spain,59.0,Entire home/apt,9.0
2.15128,41.39294,Casanova Eixample 4 bedrooms apartment,Spain,420.0,Entire home/apt,9.0
2.21275,41.41111,Ático exclusivo Barcelona,Spain,805.0,Entire home/apt,9.0
2.16524,41.39478,Eliseos Luxury Apartment HUTB-001281,Spain,300.0,Entire home/apt,9.0
2.1653,41.39294,Vela Luxury Apartment HUTB-001280,Spain,295.0,Entire home/apt,9.0
2.1651,41.37144,5*Super host Apartment+terrace  8 min from Ramblas,Spain,63.0,Entire home/apt,10.0
2.21291,41.40308,Modern Beachside Apartment with Balcony,Spain,90.0,Entire home/apt,10.0
2.14449,41.39264,Luxury Apartment Diagonal (very sunny),Spain,75.0,Entire home/apt,10.0
2.17623,41.3921,SEALONA CENTER III,Spain,130.0,Entire home/apt,10.0
2.1524,41.37977,Romantic one bedroom apartment in Eixample,Spain,100.0,Entire home/apt,9.0
2.15962,41.39244,Bright and comfortable 1 bedroom apartment,Spain,159.0,Entire home/apt,9.0
2.15942,41.41089,Bright lovely apartment in Gracia with balcony,Spain,125.0,Entire home/apt,8.0
2.1633,41.392,Stylish apartment A in city center,Spain,145.0,Entire home/apt,10.0
2.15307,41.3866,Nuevo espacioso apartamento en BCN,Spain,320.0,Entire home/apt,8.0
2.17481,41.39243,"Stylish, spacious, central, shared rooftop terrace",Spain,129.0,Entire home/apt,9.0
2.19006,41.37787,SM71 - 1 minute from beach - 2-bedroom - balcony,Spain,38.0,Entire home/apt,10.0
2.14759,41.35324,White House,Spain,230.0,Entire home/apt,9.0
2.18198,41.38189,Boqueria - Cosy studio in Born,Spain,76.0,Entire home/apt,10.0
2.16589,41.39002,"Luxurious, bright, spacious Plaza Catalunya",Spain,200.0,Entire home/apt,9.0
2.17532,41.38977,Beautiful apartment by Pl Catalunya,Spain,130.0,Entire home/apt,9.0
2.17648,41.41089,Apartamento familiar a estrenar,Spain,100.0,Entire home/apt,9.0
2.14969,41.39367,ONE BEDROOM DIAGONAL,Spain,195.0,Entire home/apt,8.0
2.17518,41.37998,CHARMING APARTMENT in PLAÇA REIAL-HUTB (Phone number hidden by Airbnb),Spain,150.0,Entire home/apt,9.0
