Longitude,Latitude,Name,Country,Price,Room_Type,Review_Rating
2.16942,41.40082,Nice room in Barcelona Center,Spain,50.0,Private room,9.0
2.17963,41.40087,Cozy bedroom Sagrada Familia,Spain,20.0,Private room,10.0
2.19057,41.41254,Great location in Barcelona,Spain,31.0,Entire home/apt,8.0
2.18146,41.39716,Grand apartment Sagrada Familia,Spain,169.0,Entire home/apt,9.0
2.15836,41.41582,Park Guell apartment with terrace,Spain,85.0,Entire home/apt,8.0
2.17778,41.38049,Room in the very ♥ of BCN - Unbeatable location,Spain,40.0,Private room,8.0
2.14596,41.38475,Trendy apartment in BCN centre,Spain,89.0,Entire home/apt,9.0
2.15533,41.40686,Triple room Barcelona Guell park,Spain,40.0,Private room,8.0
2.17519,41.41035,DOUBLE ROOM for 1 or 2 ppl,Spain,15.0,Private room,9.0
2.17774,41.37783,Alcam Colón 42 Apartment,Spain,91.0,Entire home/apt,8.0
2.17831,41.37724,Alcam Colon 52 Apartment,Spain,91.0,Entire home/apt,9.0
2.16622,41.3719,"Amazing NEW Food Lover Balcony, close to FIRA, MWC",Spain,84.0,Entire home/apt,9.0
2.15566,41.37479,Spacious and quiet duplex apartment in Poble Sec,Spain,130.0,Entire home/apt,10.0
2.15884,41.40462,GRACE BEAUTIFUL LOFT IN BARCELONA-At least 32 days,Spain,60.0,Entire home/apt,7.0
2.17561,41.38701,DOUBLE ROOM IN THE HEART OF BCN,Spain,25.0,Private room,9.0
2.15395,41.38005,1 or 2 rooms with private terrace in shared flat,Spain,65.0,Private room,10.0
2.15573,41.37249,MONTJUIC FOUNTAINS APARTMENT,Spain,85.0,Entire home/apt,9.0
2.16851,41.3791,2 confortables habitaciones en el centro de BCN!,Spain,35.0,Private room,9.0
2.16126,41.39796,Habitación centro Barcelona,Spain,25.0,Private room,9.0
2.15375,41.37587,Next to Barcelona Fair and Magic Fountain,Spain,90.0,Entire home/apt,9.0
2.20085,41.42112,habitación doble tranquila con luz,Spain,31.0,Private room,9.0
2.17877,41.37903,Apartamento en casco antiguo,Spain,55.0,Entire home/apt,9.0
2.183,41.39142,"Double Suite, with private bathroom.",Spain,40.0,Private room,9.0
2.17935,41.43038,Double room with private bathroom,Spain,38.0,Private room,9.0
2.17434,41.39137,Two bedroom apartment,Spain,155.0,Entire home/apt,10.0
2.15761,41.39922,great Terrace&lift city center,Spain,58.0,Entire home/apt,8.0
2.14733,41.39932,Penthouse. Terrace.,Spain,87.0,Entire home/apt,9.0
2.16424,41.39139,"Spacious, bright, central. AC. Rambla Catalunya",Spain,599.0,Entire home/apt,10.0
2.12933,41.38665,Beautiful Area Single Room,Spain,95.0,Private room,10.0
2.16963,41.39726,Renovated Modern Apartment with Cathedral Views,Spain,199.0,Entire home/apt,9.0
2.16365,41.39416,Allotja't en un elegant i lluminós pis modernista al costat de Passeig de Gràcia,Spain,255.0,Entire home/apt,10.0
2.1643,41.40211,Habitación indiv con cama extra,Spain,49.0,Private room,10.0
2.18116,41.38719,Private bedroom in BORN,Spain,30.0,Private room,9.0
2.16896,41.417,AMAZING VIEWS PENTHOUSE PARK GUELL,Spain,61.0,Entire home/apt,8.0
2.15413,41.39982,"Minimalist Rooms in BCN, live it.",Spain,115.0,Entire home/apt,10.0
2.16663,41.37513,Luminous for 6 apt @ Rnda Sant Pau ¦,Spain,527.0,Entire home/apt,9.0
2.16666,41.38432,SUNNY RAMBLAS 2,Spain,70.0,Entire home/apt,10.0
2.175,41.40604,IDEAL APARTMENT SAGRADA FAMILIA,Spain,150.0,Entire home/apt,10.0
2.17502,41.40995,Rustic Gaudí - Sagrada Família,Spain,59.0,Entire home/apt,9.0
