Name,Price
Bungan Beach House,2356
Luxurious oasis and family home in North Bondi,2000
Spacious 5 bedroom house - PERFECT LOCATION,1500
LUXICO - Vaucluse Manor,1321
Whale Beach Sensation,1200
LUXICO - Principino,1105
Curl Curl Getaway | Pool & Spacious 4 BR House,1100
Modern luxury Beach House,999
Views to die for & use VW Golf GTi for Free,999
"Bronte Home, Fabulous Location",999
Greenwich Fun and Luxury,999
Worm modern and comfy place in the heart of Sydney,999
Palm Beach Penthouse by Contemporary Hotels,850
The deck house @ Clareville Beach,849
Bondi Abode w/swimming pool,800
Coastal renovated family home in Vaucluse,800
Summer Holiday - North Balgowlah Family Home,800
"Potts Point, Pool and Harbour views",751
Secluded semi moments to everywhere,751
Stylish 3bed house with pool - Bondi/Tamarama,751
Family friendly beach house,751
Whale Beach Pittwater Views- By Escape Vacations,699
Beautiful 4 Bedroom House with pool,699
Elegant quiet luxury home at Bondi,695
BEACH ESCAPE,689
Spacious Four Bedroom Terrace,650
"近新Rockdale一房一厅,近火车站,有停车位,近机场,可接送机",635
Beautiful Bondi family beach house,623
Tranquil beach home with pool & ocean glimpses,600
Club Cliff for a great beach vacation.,600
Full Lux Apartment Panoramic City Harbour Views,600
"House, Pool and Spa near Manly",590
CRONULLA BEACH HOUSE,571
아담하고 느낌이 편안한 방 Modern and cosy,569
"VERY LARGE 5 Bedroom Home, free onsite parking",550
One bedroom Bronte Beach,550
Coogee Luxury Home with Salt Water Pool & Parking,520
Luxury 3 Bedroom Apartment in Prime location,500
Paradise in Willoughby,500
Aquilla House - Ocean Views Newport,500
"Sandstone Cottage, Great Mackerel Beach",500
A jewel in Bondi,500
Private 4 Bedroom Beach House in Bondi,499
PROS - Family Heaven in the Heart of Manly,499
4BR family home nr beaches and park,495
Manly Harbour House,471
Executive Luxury design Apartment,461
Characterful Heritage Building in a Prime Location in Sydney,459
Large Townhouse Prime Location Surry Hills & City,451
Portobello Manly Beach (Apartment #1),449
6roomsHouse 5mins toTrainStation near SYD Airport,428
Manly Beach House,425
"Modern 5 bed family home, only minutes to Manly",425
Take a Coastal Walk from a Stylish Flat,419
Stately Darlinghurst Terrace,419
Manly Harbour View,399
Bondi Beach Dreaming 3-Bed House,399
Quiet Rose Bay Residence near Bondi Beach,399
Spacious Family Home in Coogee,399
Beachfront Getaway,399
Spacious Contemporary Home with Pool,395
Charming and quiet historic terrace,395
Bondi-Tamarama BEACHFRONT Apartment,390
1921 15kms from Sydney CBD with Pool Spa parking.,387
Luxurious 4 to 5 Room The Rocks Large House Sydney,380
Ocean Views & Private Access to Beach,380
"Modern, Sunny City Pad with views",375
Sydney CBD 3 Bedroom 1 Bathroom Apartment,370
North Avalon Beach Apartment,360
Awesome 2-storey home Bronte Beach next to Bondi!,355
Bright 1 Room Appt near Manly Beach,350
"Modern, spacious, light filled home",350
Pittwater - designer home &  pool,350
The Paddington Cottage | Sydney Eastern Suburbs,350
Absolute beachfront in Manly!,350
Stunning Tamarama 2BR apartment with ocean views,350
10 min CBD Taste Vill Life Leichhardt/Haberfield,350
Top location + Great Sydney Views 3 Beds Apartment,350
Idyllic Sanctuary in Mosman Village,350
Bondi Beach Pad,350
Huge 3 bedroom apartment Chatswood,350
Rob's Beach Terrace,350
Modern House + Granny Flat sleeps 10+,350
OVERLOOKING BEACH 2 BED WIFI PARKING,343
Centrally Located Family House,343
Sand Sun Surf w Parking. City 9km,340
Quiet Tropical Beachside Haven,330
Ultra Modern Pool House Maroubra,328
"4 luxury Mosman bedrooms own ensuites, new kitchen",300
"""Gorgeous and artfully styled oasis ....""",300
Manly apartment 30 meters from the beach,300
A beach break AND a lake!,300
AMAZING split level Penthouse,300
Lovely Parkside Federation Home,300
Ocean front apartment great views,300
Large private room in Bondi 15mins from Beach!,300
"Quality apartment, Quality location",300
"Cozy flat in Bondi beach, 3 min walking to beach",300
Central Terrace in the heart of Surry Hills,300
The Lighthouse @ Iluka Resort Apartments,300
New Townhouse close to Bondi Beach,300
Large Home near Manly and Northern Beaches,300
"Big 2bdm, Views, WIFI and carpark",299
Stunning Summer House - Perfect for Families,299
Renovated Federalist House with a Private Garden and Hot Tub,299
Charming Home 10 Mins from Beach,299
Villa Hodgkinson 18A - Convenient Sydney Location,296
Absolute harborfront 2-bed luxury heaven MAR SALE!,296
"Bronte apt, beautiful ocean views, huge balcony!!!",290
Luxury & Cozy Apartment in Heart of Sydney CBD,289
Nostalgic & Simplicity Style 2BR Darling Harbour,281
"Modern, Quiet Semi stroll to Manly Beach",280
One bedroom Bondi Beach Apartment.,280
The Simple Life Beach House,280
Beautiful 4 level terrace in the heart of Sydney!,274
Modern Balmoral Beach Apartment,270
Dee Why Home with a View,266
Character renovated house close to city,264
Bondi Garden Bungalow,264
Manly Beach Views in Sydney,264
Stunning Bondi Beach Apartment (With Garage)!!!!,260
Architect designed 60's beach house,260
"Bundeena Base Art House, Sea View with Heated Pool",260
Water View 2 Bedroom Apartment,259
"Bronte, Waverley - Large Apartment with pool",254
Cosy beach style apartment in the heart of Manly,250
Spacious and convenient 2 bedroom apartment,250
"Coastal Apartment with Cafes, Bars & Beach at Your Doorstep",250
Sunny Bondi Pad 200m from the beach,250
Sanctuary Bundeena,250
