Name,Price
Room in the center of Barcelona,2000
Double Bedroom and amazing rooftop-Sagrada Familia,250
A Private Room for 4 People,200
Spacious apartment just by Las Ramblas,200
Amazing vintage art Work space in old city center,180
Pulitzer Extra- Read all about our experiences!,150
Comfortable and Accesible For Groups (H1+H2),140
LAST CALL MWC - Bedroom w/ private wc and balcony,130
Centre of Barcelona Room in penthouse with terrace,120
Loft 3,120
habitación privada plaza España 2,110
Habitación para tres en Barcelona cerca  transport,110
Two rooms with great view sagrada familia,100
2 chambres Pour 4 personnes,100
Charming room near Glories,100
villa maravilla,100
Villa Romantika Doppel Zimmer Afrika,100
"A place near to the RAmbla ,but in a quite street",100
sunny flat,100
"Luxury PRIVATE room on Gracia, 2min from everythng",99
Private Room in Renovated Library w/ Swimming Pool,95
Apartment- Private livingroom-kitchen-bathroom,95
"ATICO CON LAS MEJORES VISTAS DE BARCELONA UNICO,",95
Beautiful Area Single Room,95
Habitación muy grande con vistas espectaculares.,90
"Yurbban Suite Terrace, Breakfast Included",89
"Beautiful Double interior room, Breakfast Included",89
"Bright, Central Apartment with Traditional and Modern Design",88
LOVELY AND CENTRAL ROOM,85
Plaza Real Room,85
New Holiday Master Suite with Balcony in Eixample,84
RAMBLAS AREA NEAR THE BEACH!! L,80
Perfect Location! Suite Room 1 min from La Rambla,80
Habitación espaciosa y elegante con AC y baño,80
Comfortable room in Pedralbes,80
Well connected central modernist apartment,80
LOCATION! PVT Double BR w/Balcony across the BEACH,80
Room A4,79
STUDIO AT THE PRICE OF A ROOM,78
Beautiful room for three!!,75
"Room @Eixample, 8 minutes walk from Passeig Gràcia",75
Cosy Double Room in a bright flat!,70
Cosy Loft in the Heart of Borne,70
"Modern & Quiet 2 bedroom house, patio&views!",69
Lovely en-suite bedroom in city center,69
Spacious double room with balcony,69
Habitacion N#5  con baño privado,69
(inRAMBLAS) 1double room! Historic center,68
bonita y comoda habitacion en el piso céntrico,67
Mestral Mar Doble hab. 5-6,66
Habitacion Hermosa. Beautiful room in Barceloneta,65
Stunning vintage room with AC (old town),65
THE MOST CENTRAL LOCATION OF THE City! PL1,65
Double room in Diagonal Mar.  Close to the beach.,65
Double room only for pet lovers!,65
1 or 2 rooms with private terrace in shared flat,65
Lovely room with the best location ever!,60
2BLE ROOM W. PRIVATE BATHROOM BCN,60
Sagrada Familia - Comfortable and cosy double room,60
"Private, double room in Barcelona",60
SUPER Central location!!! P3,60
6th floor very sunny flat,60
Private Room & King Size Bed (Eixample),60
Lovely room in design apartment in Plaza España,60
Enrique's private room,60
Spanish family host U/private WC,60
Habitación Gayfriendly l'Eixample,60
SUNNY DELIGHT ❤ double bedroom + balcony,60
"piso bonito, muy centrico",60
Amazing place in Barcelona centre,59
My house is your house - goodvibes only (balcony),59
Double  room with private bathroom in center city,57
Private terrace and bathroom & WiFi,57
2 habitaciones en piso bonito y bien situado,56
BCN center / balcony - ensuite bathroom,55
Double Bedroom in shared Apt by Boqueria & Ramblas,55
Room with private bathroom.,55
Room “Elegance” in Barcelona centrum.,55
Beautiful room in Modernist House,55
Big double room with private bathroom,55
Blue Room With Balcony Barcelona Rambla,55
Lovely & cozy double room in the heart of BCN,53
Habitación doble en pleno barrio gótico,53
Large and bright room near the beach - Poblenou,52
Romantic room with amazing terrace in the center,51
Habitación centro example,51
Amazing places. Love holidays. Barcelona.,50
Relax in the Raval - Room with Balcony,50
Barcelona centro - Barrio Gótico,50
Apartamento Céntrico,50
2#Double Suite with bathroom A/C,50
Dos habitaciones c/balcón centro BCN 3-5 people.,50
"Room w' priv bathroom, breakfast in best location!",50
Excellent room for 2 in Barcelona,50
Double room in Barcelona Center with balcony!!!!,50
Cozy Room near the Beach and 10 min away city cent,50
Nice room in Barcelona Center,50
Comfortable room 5 minutes from the beach,50
Cozy room very well located - Arc del Trioumf,50
Perfect double room with private bathroom ! !,50
Old District - Charming Apartment,50
la sagrada familia Terrace,49
Habitación indiv con cama extra,49
Cozy double room in a sunny flat,49
Big comfortable room in BCN city center,49
Sunny and charming centric flat!!,48
Habitación doble en el centro de la ciudad,47
Quiet Private Room in Barcelona Gothic Quarter,45
YOUR SUNNY DOUBLE BEDROOM IN THE CENTER,45
"Piso en el centro,  habitación individual,",45
Lovely room in Born,45
Room with a double bed close to Arc de Triomf,45
Bright Atico in Born with the perfect roof terrace,45
Comfortable room in a house in the heart of Gràcia,45
Big sunny room! Perfect location!,45
Ático Del Guinardo,45
