Name,Country,Price,Cleaning_Fee,No_Of_Beds
LUXICO - Vaucluse Manor,Australia,1321.0,693,6.0
BEACH ESCAPE,Australia,689.0,650,8.0
Whale Beach Pittwater Views- By Escape Vacations,Australia,699.0,500,5.0
Whale Beach Sensation,Australia,1200.0,500,6.0
LUXICO - Principino,Australia,1105.0,467,5.0
Coogee Luxury Home with Salt Water Pool & Parking,Australia,520.0,465,4.0
PROS - Family Heaven in the Heart of Manly,Australia,499.0,418,4.0
Renovated Federalist House with a Private Garden and Hot Tub,Australia,299.0,400,5.0
Bondi Abode w/swimming pool,Australia,800.0,350,5.0
OVERLOOKING BEACH 2 BED WIFI PARKING,Australia,343.0,320,3.0
