Name,Country,Price,Security_Deposit
Bungan Beach House,Australia,2356.0,10000
Whale Beach Sensation,Australia,1200.0,5000
Centrally Located Family House,Australia,343.0,5000
Modern luxury Beach House,Australia,999.0,3000
2 Bedroom Beachfront with Parking,Australia,151.0,3000
PROS - Family Heaven in the Heart of Manly,Australia,499.0,3000
LUXICO - Vaucluse Manor,Australia,1321.0,2500
Bondi Abode w/swimming pool,Australia,800.0,2000
Tamarama Penthouse apartment,Australia,225.0,2000
Elegant quiet luxury home at Bondi,Australia,695.0,2000
