Name,Country,Price,Security_Deposit
Room with natural lighting,Spain,25.0,4398
Quiet & Cozy,Spain,18.0,2000
Cómoda habitación individual + baño privado,Spain,27.0,1200
Exterior room with double bed and terrace!!,Spain,31.0,1200
Habitación para tres en Barcelona cerca  transport,Spain,110.0,1000
★Exterior y céntrica★St Antoni A 2 min del Aerobus,Spain,35.0,900
Best location double room,Spain,27.0,500
Private room with sunny terrace of 200m2. 6,Spain,10.0,450
LOCATION! PVT Double BR w/Balcony across the BEACH,Spain,80.0,350
ALQUILER  HABITACIONES mir,Spain,16.0,350
